Word, suny_c, gutenberg_c, suny_ws, gutenberg_ws, total
|knew,--large|, |0|, |0|, |0|, |1|, |1|
|III.|, |0|, |0|, |0|, |1|, |1|
|seriousness|, |1|, |0|, |0|, |0|, |1|
|apprehension.|, |0|, |0|, |1|, |0|, |1|
|pressing|, |1|, |1|, |0|, |1|, |3|
|"Did|, |0|, |0|, |2|, |2|, |4|
|heart-breaking.|, |0|, |0|, |1|, |0|, |1|
|me|, |130|, |116|, |94|, |84|, |424|
|mirage,|, |0|, |0|, |1|, |0|, |1|
|quiet,|, |0|, |0|, |0|, |1|, |1|
|cracked|, |1|, |1|, |1|, |1|, |4|
|intently|, |0|, |1|, |0|, |0|, |1|
|weight.|, |0|, |0|, |1|, |0|, |1|
|Still|, |2|, |2|, |2|, |2|, |8|
|leaned,|, |0|, |0|, |1|, |0|, |1|
|angelic|, |1|, |1|, |1|, |1|, |4|
|it.|, |0|, |0|, |18|, |9|, |27|
|"Thoroughly,|, |0|, |0|, |0|, |1|, |1|
|hidden|, |1|, |0|, |1|, |0|, |2|
|lost|, |3|, |2|, |3|, |2|, |10|
|glancing|, |0|, |1|, |0|, |1|, |2|
|him;|, |0|, |0|, |0|, |1|, |1|
|rich.|, |0|, |0|, |0|, |1|, |1|
|bed|, |1|, |1|, |0|, |0|, |2|
|lately|, |2|, |3|, |2|, |3|, |10|
|picture!|, |0|, |0|, |1|, |1|, |2|
|from|, |24|, |22|, |24|, |22|, |92|
|steps,|, |0|, |0|, |1|, |0|, |1|
|Wo|, |2|, |2|, |0|, |0|, |4|
|fluted|, |1|, |1|, |1|, |1|, |4|
|disease,|, |0|, |0|, |1|, |0|, |1|
|determined|, |2|, |2|, |2|, |2|, |8|
|arrive.|, |0|, |0|, |1|, |1|, |2|
|"you've|, |0|, |0|, |1|, |0|, |1|
|October|, |1|, |1|, |0|, |0|, |2|
|,|, |646|, |726|, |0|, |0|, |1372|
|against|, |3|, |3|, |3|, |3|, |12|
|dear|, |11|, |9|, |8|, |7|, |35|
|embroideries,|, |0|, |0|, |1|, |1|, |2|
|clean|, |2|, |1|, |2|, |1|, |6|
|fortunate|, |1|, |2|, |0|, |1|, |4|
|marriage|, |1|, |2|, |0|, |0|, |3|
|half-frightened|, |0|, |1|, |0|, |1|, |2|
|waited.|, |0|, |0|, |1|, |1|, |2|
|miles,"|, |0|, |0|, |1|, |0|, |1|
|accommodated|, |1|, |0|, |1|, |0|, |2|
|flirting;|, |0|, |0|, |0|, |1|, |1|
|carpet|, |2|, |1|, |0|, |0|, |3|
|lent|, |1|, |0|, |1|, |0|, |2|
|moment's|, |0|, |0|, |1|, |0|, |1|
|felt|, |11|, |11|, |10|, |11|, |43|
|Byron|, |4|, |4|, |1|, |1|, |10|
|hard,"|, |0|, |0|, |0|, |1|, |1|
|kinds|, |1|, |1|, |0|, |0|, |2|
|emotion!|, |0|, |0|, |0|, |1|, |1|
|add.|, |0|, |0|, |1|, |0|, |1|
|perceived|, |0|, |7|, |0|, |7|, |14|
|swung|, |1|, |0|, |1|, |0|, |2|
|there|, |32|, |33|, |21|, |25|, |111|
|lovely,|, |0|, |0|, |1|, |0|, |1|
|an|, |39|, |39|, |39|, |39|, |156|
|surrounding|, |1|, |0|, |1|, |0|, |2|
|honor|, |0|, |2|, |0|, |2|, |4|
|alarm|, |1|, |1|, |1|, |1|, |4|
|cafe,"|, |0|, |0|, |1|, |0|, |1|
|creature|, |0|, |1|, |0|, |0|, |1|
|lapse|, |1|, |0|, |1|, |0|, |2|
|foolishly|, |1|, |1|, |1|, |0|, |3|
|return|, |4|, |2|, |2|, |2|, |10|
|less,|, |0|, |0|, |2|, |0|, |2|
|ruefully,|, |0|, |0|, |1|, |0|, |1|
|wife."|, |0|, |0|, |1|, |1|, |2|
|please--!"|, |0|, |0|, |1|, |0|, |1|
|This|, |6|, |5|, |5|, |5|, |21|
|know?"|, |0|, |0|, |1|, |1|, |2|
|listen,"|, |0|, |0|, |0|, |2|, |2|
|mother.|, |0|, |0|, |1|, |1|, |2|
|jerk|, |1|, |1|, |1|, |1|, |4|
|where's|, |0|, |0|, |2|, |0|, |2|
|half-bewildered|, |1|, |0|, |0|, |0|, |1|
|table;|, |0|, |0|, |0|, |1|, |1|
|indelicate.|, |0|, |0|, |0|, |1|, |1|
|midday--_comme|, |0|, |0|, |0|, |1|, |1|
|to;|, |0|, |0|, |0|, |1|, |1|
|scroll-work|, |1|, |1|, |1|, |1|, |4|
|who|, |21|, |21|, |17|, |20|, |79|
|enjoy|, |1|, |1|, |1|, |1|, |4|
|met|, |7|, |2|, |5|, |2|, |16|
|polar|, |1|, |0|, |1|, |0|, |2|
|stick|, |5|, |3|, |2|, |1|, |11|
|eyes|, |31|, |25|, |19|, |19|, |94|
|stood|, |7|, |8|, |7|, |8|, |30|
|praises|, |1|, |1|, |1|, |1|, |4|
|tongues.|, |0|, |0|, |1|, |1|, |2|
|absentee|, |1|, |0|, |1|, |0|, |2|
|whatever|, |1|, |1|, |1|, |1|, |4|
|ruined|, |1|, |2|, |1|, |1|, |5|
|sha|, |2|, |0|, |0|, |0|, |2|
|earned|, |1|, |0|, |1|, |0|, |2|
|music|, |1|, |0|, |0|, |0|, |1|
|observation.|, |0|, |0|, |1|, |0|, |1|
|afterwards|, |1|, |1|, |0|, |0|, |2|
|vulgar|, |3|, |3|, |3|, |2|, |11|
|countess!"|, |0|, |0|, |0|, |2|, |2|
|hours--hours!|, |0|, |0|, |0|, |1|, |1|
|deal|, |5|, |6|, |3|, |4|, |18|
|costume,|, |0|, |0|, |1|, |1|, |2|
|finished,|, |0|, |0|, |1|, |0|, |1|
|feared|, |2|, |1|, |2|, |1|, |6|
|(297)|, |0|, |0|, |1|, |0|, |1|
|languid|, |1|, |1|, |1|, |1|, |4|
