Word, suny_c, gutenberg_c, suny_ws, gutenberg_ws, total
|occupant|, |1|, |1|, |0|, |0|, |2|
|fait_.|, |0|, |0|, |1|, |1|, |2|
|worse|, |2|, |0|, |1|, |0|, |3|
|gayly,|, |0|, |0|, |0|, |1|, |1|
|were,|, |0|, |0|, |1|, |0|, |1|
|pitying|, |1|, |0|, |1|, |0|, |2|
|james|, |0|, |0|, |0|, |0|, |0|
|pictures,|, |0|, |0|, |1|, |2|, |3|
|too.|, |0|, |0|, |2|, |1|, |3|
|vividly|, |1|, |1|, |0|, |0|, |2|
|back.|, |0|, |0|, |2|, |4|, |6|
|tone,--"she|, |0|, |0|, |0|, |0|, |0|
|replied,|, |0|, |0|, |1|, |0|, |1|
|arrives|, |0|, |1|, |0|, |0|, |1|
|seriousness|, |1|, |0|, |0|, |0|, |1|
|æsthetic|, |0|, |1|, |0|, |1|, |2|
|meant|, |2|, |2|, |2|, |2|, |8|
|dame|, |1|, |0|, |0|, |0|, |1|
|figure.|, |0|, |0|, |0|, |1|, |1|
|boulevard!"|, |0|, |0|, |0|, |1|, |1|
|uncivil.|, |0|, |0|, |0|, |1|, |1|
|shabby|, |1|, |2|, |1|, |1|, |5|
|interesting|, |4|, |1|, |2|, |0|, |7|
|273|, |1|, |0|, |0|, |0|, |1|
|polite,"|, |0|, |0|, |1|, |1|, |2|
|art-student,|, |0|, |0|, |0|, |1|, |1|
|peculiarities|, |1|, |1|, |1|, |0|, |3|
|eyes|, |31|, |25|, |19|, |19|, |94|
|where's|, |0|, |0|, |2|, |0|, |2|
|country,|, |0|, |0|, |1|, |1|, |2|
|germs|, |1|, |0|, |1|, |0|, |2|
|now--i|, |0|, |0|, |0|, |0|, |0|
|severely|, |1|, |1|, |1|, |1|, |4|
|'re|, |18|, |0|, |0|, |0|, |18|
|nursing|, |1|, |0|, |1|, |0|, |2|
|heroine|, |0|, |1|, |0|, |0|, |1|
|manage|, |2|, |2|, |1|, |1|, |6|
|whisper.|, |0|, |0|, |0|, |2|, |2|
|exact,|, |0|, |0|, |1|, |0|, |1|
|four|, |3|, |2|, |3|, |2|, |10|
|desperation|, |1|, |0|, |0|, |0|, |1|
|certified|, |1|, |0|, |1|, |0|, |2|
|by|, |31|, |19|, |30|, |17|, |97|
|when,|, |0|, |0|, |1|, |1|, |2|
|quince-trees.|, |0|, |0|, |1|, |1|, |2|
|quays|, |1|, |1|, |1|, |0|, |3|
|spirit.|, |0|, |0|, |1|, |0|, |1|
|rate|, |4|, |2|, |3|, |1|, |10|
|late.|, |0|, |0|, |1|, |1|, |2|
|taking|, |5|, |3|, |5|, |3|, |16|
|elbow|, |1|, |1|, |1|, |0|, |3|
|listeners.|, |0|, |0|, |1|, |1|, |2|
|lessons;|, |0|, |0|, |0|, |1|, |1|
|settled|, |1|, |1|, |1|, |1|, |4|
|wearily|, |1|, |1|, |1|, |0|, |3|
|now,"|, |0|, |0|, |0|, |2|, |2|
|descant|, |1|, |1|, |1|, |1|, |4|
|vision,|, |0|, |0|, |1|, |1|, |2|
|'clock,|, |0|, |0|, |0|, |1|, |1|
|pays|, |2|, |1|, |2|, |1|, |6|
|paris--i've|, |0|, |0|, |0|, |0|, |0|
|sort,|, |0|, |0|, |1|, |0|, |1|
|times,|, |0|, |0|, |1|, |1|, |2|
|humble|, |0|, |1|, |0|, |1|, |2|
|home--things|, |0|, |0|, |1|, |0|, |1|
|kind!|, |0|, |0|, |1|, |0|, |1|
|rest,|, |0|, |0|, |0|, |1|, |1|
|touching|, |3|, |2|, |3|, |1|, |9|
|object|, |4|, |3|, |4|, |3|, |14|
|interruption!"|, |0|, |0|, |0|, |1|, |1|
|stared|, |4|, |4|, |2|, |1|, |11|
|(299)|, |0|, |0|, |1|, |0|, |1|
|eyes--of|, |0|, |0|, |1|, |0|, |1|
|certainly|, |3|, |4|, |3|, |4|, |14|
|curiosity.|, |0|, |0|, |1|, |0|, |1|
|fluted|, |1|, |1|, |1|, |1|, |4|
|fortunate,|, |0|, |0|, |1|, |1|, |2|
|incompetent|, |0|, |1|, |0|, |1|, |2|
|towers|, |1|, |1|, |1|, |1|, |4|
|entertainer.|, |0|, |0|, |1|, |0|, |1|
|288|, |1|, |0|, |0|, |0|, |1|
|curiously|, |0|, |1|, |0|, |0|, |1|
|succeeded|, |0|, |1|, |0|, |1|, |2|
|(311)|, |0|, |0|, |1|, |0|, |1|
|father.|, |0|, |0|, |0|, |1|, |1|
|eh|, |1|, |3|, |0|, |0|, |4|
|bewilderment.|, |0|, |0|, |1|, |0|, |1|
|attentive|, |1|, |1|, |1|, |1|, |4|
|assembly|, |1|, |0|, |1|, |0|, |2|
|grammar,|, |0|, |0|, |1|, |1|, |2|
|"please,|, |0|, |0|, |0|, |0|, |0|
|paris,"|, |0|, |0|, |0|, |0|, |0|
|felt|, |11|, |11|, |10|, |11|, |43|
|hours--hours!|, |0|, |0|, |0|, |1|, |1|
|thin|, |2|, |2|, |2|, |2|, |8|
|sha|, |2|, |0|, |0|, |0|, |2|
|morning--the|, |0|, |0|, |1|, |0|, |1|
|himself.|, |0|, |0|, |2|, |2|, |4|
|could|, |35|, |13|, |22|, |12|, |82|
|particular,|, |0|, |0|, |2|, |1|, |3|
|beauty,|, |0|, |0|, |1|, |1|, |2|
|spencer,|, |0|, |0|, |0|, |0|, |0|
|wanton,|, |0|, |0|, |1|, |0|, |1|
|compassion,|, |0|, |0|, |0|, |1|, |1|
|cautiously|, |1|, |1|, |1|, |1|, |4|
|clasping|, |1|, |0|, |1|, |0|, |2|
|dressing-gown|, |1|, |4|, |1|, |2|, |8|
|business;|, |0|, |0|, |1|, |0|, |1|
|surprise|, |2|, |2|, |2|, |1|, |7|
|accordingly,|, |0|, |0|, |0|, |0|, |0|
|travellers|, |2|, |0|, |2|, |0|, |4|
|noted|, |1|, |0|, |1|, |0|, |2|
|that--i|, |0|, |0|, |0|, |0|, |0|
|quick,|, |0|, |0|, |0|, |2|, |2|
|instant;|, |0|, |0|, |0|, |1|, |1|
|[|, |1|, |0|, |0|, |0|, |1|
|inquiringly,|, |0|, |0|, |0|, |1|, |1|
|'_fine_,'|, |0|, |0|, |1|, |0|, |1|
|sic|, |1|, |0|, |0|, |0|, |1|
|night|, |6|, |6|, |2|, |2|, |16|
|credence|, |0|, |1|, |0|, |0|, |1|
|hour,--they|, |0|, |0|, |0|, |1|, |1|
|fresh|, |1|, |0|, |1|, |0|, |2|
|treated|, |1|, |0|, |1|, |0|, |2|
|aspect|, |0|, |1|, |0|, |0|, |1|
|business|, |2|, |0|, |0|, |0|, |2|
|doorstep|, |0|, |2|, |0|, |0|, |2|
|coming,|, |0|, |0|, |1|, |1|, |2|
|"miss|, |0|, |0|, |0|, |0|, |0|
|ruche|, |1|, |1|, |0|, |0|, |2|
|event|, |2|, |1|, |1|, |0|, |4|
|me--such|, |0|, |0|, |1|, |0|, |1|
|years--i|, |0|, |0|, |0|, |0|, |0|
|worth|, |2|, |2|, |2|, |2|, |8|
|poodles|, |1|, |1|, |0|, |0|, |2|
|desired|, |2|, |1|, |2|, |1|, |6|
|shabby.|, |0|, |0|, |0|, |1|, |1|
|interest."|, |0|, |0|, |1|, |0|, |1|
|bringing|, |1|, |0|, |1|, |0|, |2|
|running|, |1|, |1|, |1|, |1|, |4|
|glance.|, |0|, |0|, |0|, |1|, |1|
|extreme.|, |0|, |0|, |1|, |1|, |2|
|princes|, |0|, |0|, |0|, |0|, |0|
|dishonest|, |2|, |2|, |1|, |0|, |5|
|visitor"--mrs.|, |0|, |0|, |0|, |0|, |0|
|about?"|, |0|, |0|, |1|, |1|, |2|
|opposite|, |2|, |2|, |1|, |2|, |7|
|experience!"|, |0|, |0|, |1|, |0|, |1|
|imagine|, |3|, |2|, |3|, |2|, |10|
|impressiveness|, |1|, |0|, |0|, |0|, |1|
|entertainer|, |1|, |0|, |0|, |0|, |1|
|heures|, |1|, |0|, |0|, |0|, |1|
|withdrawn|, |1|, |0|, |1|, |0|, |2|
|pupil;|, |0|, |0|, |1|, |0|, |1|
|analogy|, |0|, |1|, |0|, |0|, |1|
|ventured|, |1|, |1|, |1|, |1|, |4|
|round|, |7|, |7|, |5|, |5|, |24|
|craziness."|, |0|, |0|, |1|, |1|, |2|
|wished.|, |0|, |0|, |1|, |1|, |2|
|excited|, |1|, |0|, |1|, |0|, |2|
|ceased.|, |0|, |0|, |1|, |1|, |2|
|minister|, |6|, |5|, |1|, |0|, |12|
|october|, |0|, |0|, |0|, |0|, |0|
|white-capped|, |1|, |1|, |1|, |1|, |4|
|more.|, |0|, |0|, |1|, |2|, |3|
|badly|, |1|, |0|, |1|, |0|, |2|
|plans|, |1|, |1|, |1|, |1|, |4|
|who's|, |0|, |0|, |2|, |0|, |2|
|keen,|, |0|, |0|, |0|, |1|, |1|
|sight.|, |0|, |0|, |1|, |1|, |2|
|head;|, |0|, |0|, |1|, |1|, |2|
|pardon|, |0|, |0|, |0|, |0|, |0|
|statues.|, |0|, |0|, |1|, |1|, |2|
|suspected,|, |0|, |0|, |1|, |1|, |2|
|chinoise_.|, |0|, |0|, |1|, |1|, |2|
|can--in|, |0|, |0|, |0|, |0|, |0|
|absorbing|, |1|, |1|, |1|, |1|, |4|
|seedy.|, |0|, |0|, |0|, |1|, |1|
|unable|, |0|, |2|, |0|, |2|, |4|
|evening.|, |0|, |0|, |1|, |1|, |2|
|recover|, |0|, |1|, |0|, |1|, |2|
|wait|, |3|, |2|, |2|, |2|, |9|
|chances,|, |0|, |0|, |1|, |0|, |1|
|prospective|, |0|, |1|, |0|, |1|, |2|
|shipmate,|, |0|, |0|, |1|, |1|, |2|
|(291)|, |0|, |0|, |1|, |0|, |1|
|immensely|, |1|, |1|, |0|, |0|, |2|
|travelling!"|, |0|, |0|, |0|, |1|, |1|
|bedclothes|, |1|, |0|, |0|, |0|, |1|
|used|, |5|, |5|, |5|, |5|, |20|
|stitches|, |1|, |1|, |1|, |1|, |4|
|provence,|, |0|, |0|, |0|, |0|, |0|
|great-aunt,|, |0|, |0|, |1|, |0|, |1|
|rapid|, |1|, |1|, |0|, |0|, |2|
|europe."|, |0|, |0|, |0|, |0|, |0|
|guidebooks.|, |0|, |0|, |0|, |1|, |1|
|knew,--large|, |0|, |0|, |0|, |1|, |1|
|knew|, |5|, |4|, |4|, |3|, |16|
|perplexed|, |0|, |1|, |0|, |0|, |1|
|sir|, |3|, |3|, |0|, |0|, |6|
|shady|, |1|, |1|, |1|, |1|, |4|
|purpose,|, |0|, |0|, |1|, |1|, |2|
|"can't|, |0|, |0|, |0|, |0|, |0|
|friends.|, |0|, |0|, |1|, |0|, |1|
|arrive|, |3|, |2|, |1|, |1|, |7|
|sign|, |3|, |3|, |2|, |3|, |11|
|made|, |14|, |12|, |14|, |12|, |52|
|paris?"|, |0|, |0|, |0|, |0|, |0|
|suspicion--preoccupied|, |0|, |0|, |1|, |0|, |1|
|lessons|, |1|, |3|, |1|, |0|, |5|
|enjoying|, |0|, |1|, |0|, |1|, |2|
|(286)|, |0|, |0|, |1|, |0|, |1|
|breakfast."|, |0|, |0|, |1|, |1|, |2|
|d'|, |0|, |0|, |2|, |0|, |2|
|night!"|, |0|, |0|, |1|, |1|, |2|
|all--the|, |0|, |0|, |1|, |0|, |1|
|hens.|, |0|, |0|, |1|, |1|, |2|
|waved|, |1|, |1|, |1|, |1|, |4|
|banker's,|, |0|, |0|, |1|, |1|, |2|
|laced|, |2|, |2|, |1|, |1|, |6|
|apartment|, |1|, |1|, |1|, |1|, |4|
|stifle.|, |0|, |0|, |1|, |0|, |1|
|moving|, |2|, |3|, |1|, |2|, |8|
|dismally|, |1|, |0|, |1|, |0|, |2|
|miles,"|, |0|, |0|, |1|, |0|, |1|
|odds|, |1|, |1|, |1|, |0|, |3|
|speak,|, |0|, |0|, |1|, |1|, |2|
|badinage,--|, |0|, |0|, |0|, |1|, |1|
|"look|, |0|, |0|, |0|, |0|, |0|
|reply|, |1|, |0|, |1|, |0|, |2|
|drive|, |1|, |1|, |0|, |0|, |2|
|nicely|, |1|, |0|, |0|, |0|, |1|
|saw."|, |0|, |0|, |0|, |1|, |1|
|able."|, |0|, |0|, |1|, |1|, |2|
|faith|, |3|, |1|, |2|, |1|, |7|
|way--!|, |0|, |0|, |1|, |0|, |1|
|dim|, |1|, |0|, |1|, |0|, |2|
|appeared,|, |0|, |0|, |1|, |0|, |1|
|white,|, |0|, |0|, |1|, |1|, |2|
|heart-breaking|, |1|, |0|, |0|, |0|, |1|
|faded|, |2|, |2|, |2|, |2|, |8|
|existence_|, |1|, |0|, |0|, |0|, |1|
|measured|, |1|, |1|, |1|, |1|, |4|
|tour.|, |0|, |0|, |1|, |1|, |2|
|going.|, |0|, |0|, |1|, |1|, |2|
|stout|, |1|, |1|, |1|, |0|, |3|
|see,"|, |0|, |0|, |0|, |2|, |2|
|me:|, |0|, |0|, |1|, |0|, |1|
|france,|, |0|, |0|, |0|, |0|, |0|
|following|, |1|, |1|, |0|, |1|, |3|
|tapestry|, |1|, |1|, |0|, |1|, |3|
|eastward|, |3|, |2|, |3|, |2|, |10|
|looking|, |11|, |20|, |11|, |20|, |62|
|banker's|, |0|, |0|, |1|, |1|, |2|
|underlip.|, |0|, |0|, |0|, |1|, |1|
|ray|, |1|, |0|, |1|, |0|, |2|
|has|, |34|, |28|, |32|, |28|, |122|
|myself."|, |0|, |0|, |1|, |1|, |2|
|deep|, |1|, |1|, |1|, |1|, |4|
|court.|, |0|, |0|, |1|, |0|, |1|
|"really,"|, |0|, |0|, |0|, |0|, |0|
|quietly."|, |0|, |0|, |1|, |1|, |2|
|demurely|, |1|, |1|, |1|, |1|, |4|
|"artistic,"|, |0|, |0|, |1|, |1|, |2|
|book-nourished|, |1|, |1|, |1|, |1|, |4|
|form,|, |0|, |0|, |1|, |0|, |1|
|tables.|, |0|, |0|, |1|, |1|, |2|
|(307)|, |0|, |0|, |1|, |0|, |1|
|amoureux_|, |1|, |0|, |0|, |0|, |1|
|times--i|, |0|, |0|, |0|, |0|, |0|
|assurance|, |1|, |0|, |0|, |0|, |1|
|bit,"|, |0|, |0|, |1|, |1|, |2|
|dream."|, |0|, |0|, |1|, |0|, |1|
|makes|, |1|, |1|, |1|, |1|, |4|
|unscrupulous|, |1|, |0|, |1|, |0|, |2|
|jog|, |1|, |0|, |1|, |0|, |2|
|"certainly|, |0|, |0|, |0|, |0|, |0|
|message|, |1|, |0|, |1|, |0|, |2|
|treat|, |1|, |0|, |0|, |0|, |1|
|sailor|, |0|, |1|, |0|, |0|, |1|
|recognition.|, |0|, |0|, |0|, |1|, |1|
|couple|, |4|, |3|, |4|, |3|, |14|
|bright-colored,|, |0|, |0|, |0|, |1|, |1|
|court,"|, |0|, |0|, |0|, |1|, |1|
|europe,|, |0|, |0|, |0|, |0|, |0|
|by-street|, |1|, |0|, |0|, |0|, |1|
|agreable_.|, |0|, |0|, |2|, |0|, |2|
|ended|, |1|, |0|, |1|, |0|, |2|
|tremulous|, |1|, |1|, |1|, |1|, |4|
|repast|, |2|, |1|, |2|, |0|, |5|
|ruefully,|, |0|, |0|, |1|, |0|, |1|
|chance_!|, |0|, |0|, |1|, |0|, |1|
|wanted|, |1|, |1|, |1|, |1|, |4|
|lamp|, |1|, |1|, |0|, |0|, |2|
|unfinished|, |1|, |1|, |1|, |1|, |4|
|genoa|, |0|, |0|, |0|, |0|, |0|
|doubt|, |5|, |2|, |4|, |1|, |12|
|common,|, |0|, |0|, |1|, |0|, |1|
|experience!|, |0|, |0|, |0|, |1|, |1|
|nevertheless|, |3|, |2|, |3|, |1|, |9|
|hostelry|, |1|, |0|, |1|, |0|, |2|
|opportunity|, |1|, |0|, |1|, |0|, |2|
|sort!"|, |0|, |0|, |1|, |1|, |2|
|better|, |5|, |3|, |5|, |3|, |16|
|histories|, |1|, |1|, |1|, |1|, |4|
|bereaved|, |1|, |1|, |1|, |1|, |4|
|picture.|, |0|, |0|, |2|, |2|, |4|
|it's|, |0|, |0|, |12|, |3|, |15|
|scrupulously|, |0|, |1|, |0|, |1|, |2|
|point|, |1|, |0|, |1|, |0|, |2|
|much."|, |0|, |0|, |1|, |0|, |1|
|"and|, |0|, |0|, |2|, |0|, |2|
|challenge.|, |0|, |0|, |1|, |0|, |1|
|flirting;|, |0|, |0|, |0|, |1|, |1|
|hospitality;|, |0|, |0|, |0|, |1|, |1|
|slow|, |3|, |0|, |3|, |0|, |6|
|gray,|, |0|, |0|, |0|, |1|, |1|
|description|, |1|, |1|, |1|, |1|, |4|
|boy|, |1|, |1|, |1|, |1|, |4|
|pockets|, |1|, |1|, |1|, |1|, |4|
|odds,|, |0|, |0|, |0|, |1|, |1|
|alarm|, |1|, |1|, |1|, |1|, |4|
|country."|, |0|, |0|, |1|, |1|, |2|
|misery!--_chere|, |0|, |0|, |0|, |0|, |0|
|until|, |1|, |3|, |1|, |3|, |8|
|bust.|, |0|, |0|, |1|, |1|, |2|
|heures_|, |1|, |0|, |0|, |0|, |1|
|exaltation|, |0|, |1|, |0|, |0|, |1|
|we've|, |0|, |0|, |2|, |0|, |2|
|waving|, |1|, |1|, |1|, |1|, |4|
|yet,|, |0|, |0|, |2|, |2|, |4|
|walk|, |3|, |4|, |3|, |4|, |14|
|proved|, |3|, |2|, |2|, |1|, |8|
|unpaved|, |1|, |1|, |1|, |1|, |4|
|else.|, |0|, |0|, |0|, |1|, |1|
|seriousness.|, |0|, |0|, |1|, |0|, |1|
|old|, |24|, |17|, |23|, |17|, |81|
|it|, |142|, |115|, |86|, |78|, |421|
|feet;|, |0|, |0|, |1|, |0|, |1|
|guidebooks|, |0|, |1|, |0|, |0|, |1|
|different."|, |0|, |0|, |1|, |1|, |2|
|seldom|, |1|, |0|, |1|, |0|, |2|
|exertion--and|, |0|, |0|, |1|, |0|, |1|
|sees|, |0|, |1|, |0|, |1|, |2|
|himself--he|, |0|, |0|, |1|, |0|, |1|
|hour?"|, |0|, |0|, |2|, |2|, |4|
|"european"|, |0|, |0|, |0|, |0|, |0|
|francis|, |0|, |0|, |0|, |0|, |0|
|geneva.|, |0|, |0|, |0|, |0|, |0|
|attraction|, |1|, |1|, |1|, |1|, |4|
|simplicity.|, |0|, |0|, |0|, |1|, |1|
|become|, |1|, |1|, |1|, |1|, |4|
|souls,|, |0|, |0|, |1|, |0|, |1|
|sun-picture.|, |0|, |0|, |1|, |1|, |2|
|away;|, |0|, |0|, |0|, |1|, |1|
|gleefully.|, |0|, |0|, |1|, |1|, |2|
|cousin's|, |0|, |0|, |3|, |2|, |5|
|us--she|, |0|, |0|, |1|, |0|, |1|
|less;|, |0|, |0|, |0|, |1|, |1|
|bad.|, |0|, |0|, |1|, |1|, |2|
|301|, |1|, |0|, |0|, |0|, |1|
|neatly|, |1|, |1|, |1|, |1|, |4|
|byronic|, |0|, |0|, |0|, |0|, |0|
|afternoon|, |2|, |2|, |2|, |2|, |8|
|retained;|, |0|, |0|, |1|, |0|, |1|
|parti-coloured|, |1|, |0|, |1|, |0|, |2|
|nose|, |3|, |3|, |3|, |2|, |11|
|scrutiny|, |1|, |0|, |0|, |0|, |1|
|since,|, |0|, |0|, |0|, |1|, |1|
|burden|, |1|, |1|, |1|, |1|, |4|
|restrict|, |1|, |0|, |0|, |0|, |1|
|mouth|, |3|, |3|, |3|, |2|, |11|
|hands.|, |0|, |0|, |1|, |1|, |2|
|attended|, |1|, |0|, |1|, |0|, |2|
|always|, |10|, |10|, |10|, |10|, |40|
|steep-roofed|, |1|, |1|, |1|, |0|, |3|
|leaves,|, |0|, |0|, |1|, |1|, |2|
|morning;|, |0|, |0|, |0|, |1|, |1|
|again."|, |0|, |0|, |0|, |1|, |1|
|ii.|, |0|, |0|, |0|, |0|, |0|
|himself;|, |0|, |0|, |0|, |1|, |1|
|forfeiture|, |1|, |1|, |1|, |1|, |4|
|remembering.|, |0|, |0|, |1|, |1|, |2|
|hardly|, |4|, |4|, |4|, |4|, |16|
|her."|, |0|, |0|, |3|, |1|, |4|
|sunny,|, |0|, |0|, |0|, |1|, |1|
|flatness|, |1|, |0|, |0|, |0|, |1|
|spirits|, |1|, |0|, |1|, |0|, |2|
|grimwinter|, |0|, |0|, |0|, |0|, |0|
|among|, |2|, |1|, |2|, |1|, |6|
|washing|, |1|, |0|, |1|, |0|, |2|
|ears|, |1|, |1|, |1|, |1|, |4|
|little--then|, |0|, |0|, |1|, |0|, |1|
|please|, |4|, |2|, |1|, |0|, |7|
|wound|, |1|, |0|, |1|, |0|, |2|
|her!--though|, |0|, |0|, |1|, |0|, |1|
|embarrassed.|, |0|, |0|, |1|, |1|, |2|
|day--remember|, |0|, |0|, |1|, |0|, |1|
|down.|, |0|, |0|, |3|, |2|, |5|
|near|, |4|, |4|, |4|, |4|, |16|
|terrible|, |2|, |2|, |2|, |2|, |8|
|experience|, |6|, |5|, |2|, |2|, |15|
|banisters|, |1|, |1|, |1|, |0|, |3|
|enough|, |9|, |6|, |6|, |5|, |26|
|turned|, |14|, |11|, |14|, |11|, |50|
|attention|, |1|, |0|, |0|, |0|, |1|
|wasn't|, |0|, |0|, |8|, |0|, |8|
|charming.|, |0|, |0|, |1|, |0|, |1|
|person--the|, |0|, |0|, |1|, |0|, |1|
|finger-tips."|, |0|, |0|, |1|, |0|, |1|
|many|, |2|, |2|, |2|, |2|, |8|
|introduced|, |3|, |3|, |3|, |3|, |12|
|308|, |1|, |0|, |0|, |0|, |1|
|where,|, |0|, |0|, |3|, |3|, |6|
|within|, |1|, |2|, |1|, |2|, |6|
|sister,|, |0|, |0|, |0|, |1|, |1|
|appeal|, |3|, |0|, |2|, |0|, |5|
|portfolios,|, |0|, |0|, |1|, |1|, |2|
|come;"|, |0|, |0|, |0|, |0|, |0|
|failed|, |2|, |1|, |2|, |1|, |6|
|relatives|, |1|, |1|, |1|, |1|, |4|
|306|, |1|, |0|, |0|, |0|, |1|
|friends|, |1|, |0|, |0|, |0|, |1|
|snowing|, |1|, |1|, |1|, |1|, |4|
|prettiness|, |1|, |0|, |1|, |0|, |2|
|rising|, |1|, |1|, |0|, |0|, |2|
|rudimentary|, |0|, |1|, |0|, |1|, |2|
|faced|, |2|, |0|, |2|, |0|, |4|
|pocket|, |2|, |1|, |0|, |0|, |3|
|be?|, |0|, |0|, |1|, |0|, |1|
|since?"|, |0|, |0|, |3|, |3|, |6|
|meet|, |6|, |5|, |6|, |5|, |22|
|opposite.|, |0|, |0|, |1|, |0|, |1|
|unpainted|, |1|, |1|, |1|, |1|, |4|
|satisfaction|, |2|, |2|, |1|, |1|, |6|
|carpet|, |2|, |1|, |0|, |0|, |3|
|questions|, |0|, |1|, |0|, |0|, |1|
|detained|, |1|, |1|, |1|, |1|, |4|
|man?"|, |0|, |0|, |2|, |1|, |3|
|timidly|, |3|, |3|, |1|, |1|, |8|
|les|, |1|, |0|, |1|, |0|, |2|
|life.|, |0|, |0|, |1|, |0|, |1|
|pleasant|, |1|, |1|, |1|, |1|, |4|
|know,|, |0|, |0|, |0|, |1|, |1|
|terminated|, |0|, |1|, |0|, |1|, |2|
|earnestness|, |1|, |0|, |1|, |0|, |2|
|world|, |7|, |3|, |4|, |1|, |15|
|countess!"|, |0|, |0|, |0|, |2|, |2|
|named|, |2|, |0|, |2|, |0|, |4|
|too-morose|, |1|, |0|, |1|, |0|, |2|
|_voilà|, |0|, |0|, |0|, |0|, |0|
|"very|, |0|, |0|, |1|, |0|, |1|
|objects|, |1|, |0|, |0|, |0|, |1|
|sense|, |4|, |3|, |4|, |3|, |14|
|discreet,|, |0|, |0|, |1|, |0|, |1|
|tables|, |3|, |3|, |2|, |2|, |10|
|enter.|, |0|, |0|, |1|, |1|, |2|
|ca|, |6|, |5|, |0|, |0|, |11|
|keep|, |2|, |1|, |2|, |1|, |6|
|benefit|, |2|, |1|, |2|, |1|, |6|
|heart-breaking.|, |0|, |0|, |1|, |0|, |1|
|grave--to|, |0|, |0|, |1|, |0|, |1|
|minutes;|, |0|, |0|, |0|, |1|, |1|
|sensible|, |1|, |1|, |1|, |1|, |4|
|havre,|, |0|, |0|, |0|, |0|, |0|
|thought|, |14|, |15|, |13|, |15|, |57|
|patching|, |1|, |0|, |1|, |0|, |2|
|identified,|, |0|, |0|, |1|, |1|, |2|
|cafe|, |5|, |0|, |2|, |0|, |7|
|require|, |1|, |0|, |1|, |0|, |2|
|n't|, |97|, |42|, |0|, |7|, |146|
|chose.|, |0|, |0|, |1|, |0|, |1|
|charming!"|, |0|, |0|, |1|, |1|, |2|
|ever|, |13|, |8|, |11|, |6|, |38|
|wrote|, |2|, |2|, |1|, |1|, |6|
|_chere|, |0|, |0|, |0|, |0|, |0|
|changed.|, |0|, |0|, |0|, |1|, |1|
|fashion,|, |0|, |0|, |2|, |1|, |3|
|demonstrations.|, |0|, |0|, |1|, |1|, |2|
|door-step|, |2|, |0|, |0|, |0|, |2|
|silence,|, |0|, |0|, |0|, |1|, |1|
|perversity|, |1|, |0|, |0|, |0|, |1|
|allied|, |1|, |0|, |1|, |0|, |2|
|control|, |1|, |0|, |1|, |0|, |2|
|happily,|, |0|, |0|, |0|, |1|, |1|
|"after|, |0|, |0|, |0|, |0|, |0|
|much|, |19|, |9|, |12|, |7|, |47|
|mine--she|, |0|, |0|, |1|, |0|, |1|
|mixter.|, |0|, |0|, |0|, |0|, |0|
|pursued|, |2|, |1|, |1|, |0|, |4|
|marriage,|, |0|, |0|, |0|, |1|, |1|
|demonstrative|, |0|, |1|, |0|, |1|, |2|
|amount|, |2|, |2|, |1|, |0|, |5|
|deliberate|, |1|, |1|, |1|, |1|, |4|
|lady."|, |0|, |0|, |2|, |2|, |4|
|kind--and|, |0|, |0|, |1|, |0|, |1|
|utter,|, |0|, |0|, |1|, |0|, |1|
|urbanity,|, |0|, |0|, |0|, |1|, |1|
|visitor,"|, |0|, |0|, |0|, |1|, |1|
|which,|, |0|, |0|, |2|, |3|, |5|
|stature.|, |0|, |0|, |0|, |1|, |1|
|harbor|, |0|, |1|, |0|, |0|, |1|
|did."|, |0|, |0|, |1|, |1|, |2|
|horrid|, |1|, |0|, |1|, |0|, |2|
|may|, |10|, |5|, |10|, |5|, |30|
|taste|, |1|, |1|, |1|, |1|, |4|
|race|, |1|, |0|, |0|, |0|, |1|
|gray|, |0|, |2|, |0|, |1|, |3|
|room;|, |0|, |0|, |1|, |1|, |2|
|wife."|, |0|, |0|, |1|, |1|, |2|
|anything|, |2|, |1|, |2|, |1|, |6|
|news!"|, |0|, |0|, |1|, |1|, |2|
|crying|, |1|, |1|, |0|, |0|, |2|
|rejoined.|, |0|, |0|, |0|, |3|, |3|
|pleased|, |3|, |3|, |2|, |2|, |10|
|leave|, |7|, |4|, |6|, |2|, |19|
|age|, |1|, |1|, |0|, |0|, |2|
|horses|, |1|, |1|, |0|, |0|, |2|
|statuesque.|, |0|, |0|, |1|, |1|, |2|
|get|, |6|, |5|, |5|, |4|, |20|
|"so|, |0|, |0|, |1|, |0|, |1|
|antechamber|, |0|, |1|, |0|, |0|, |1|
|bouk"--his|, |0|, |0|, |1|, |0|, |1|
|pleasure|, |4|, |4|, |3|, |3|, |14|
|gallantly|, |1|, |1|, |1|, |1|, |4|
|ignorance.|, |0|, |0|, |1|, |0|, |1|
|section|, |1|, |0|, |1|, |0|, |2|
|"up|, |0|, |0|, |1|, |1|, |2|
|charms|, |1|, |1|, |0|, |0|, |2|
|added|, |10|, |9|, |5|, |0|, |24|
|ah|, |0|, |0|, |0|, |0|, |0|
|ironical|, |0|, |1|, |0|, |1|, |2|
|"he'll|, |0|, |0|, |1|, |0|, |1|
